parada_id,equipo_id,fecha,hora_inicio_aprox,duracion_horas,tipo_parada,causa,costo_estimado_soles
PAR-01382,EQ-08 ,2025-04-23,09:00,11.3,Correctiva,Rotura de faja/correa,22130.0
PAR-00924,EQ-05,17/12/2025,12:00,3.0, correctiva,Rotura de faja/correa,5357.0
PAR-00834,EQ-05 ,2025-01-23,05:00,15.3, correctiva,Rotura de faja/correa,30556.0
PAR-01341, EQ-08,19/11/2024,06:00,0.8,Operativa ,Falta de mineral en cancha,242.0
PAR-00508,EQ-04 ,2024-02-27,07:00,13.5,Correctiva ,Falla mecánica - desgaste de componente,
PAR-00875,EQ-05 ,2025-06-16,13:00,2.9,Operativa,Espera de insumos (reactivos/bolas de molienda),1281.0
PAR-00823,EQ-05,2024-12-11,05:00,12.3,Correctiva ,Falla mecánica - desgaste de componente,26071.0
PAR-00003,eq-01,23/01/2024,16:00,1.1,Correctiva,Falla eléctrica - motor/tablero,1591.0
PAR-00369, EQ-03,30/04/2024,17:00,4.9, preventiva,Mantenimiento programado (plan anual),7610.0
PAR-01467,EQ-09 ,2024-05-05,14:00,1.7,CORRECTIVA,Falla eléctrica - motor/tablero,
PAR-00931, EQ-05,2025-12-29,01:00,14.4,Correctiva,Falla mecánica - desgaste de componente,24440.0
PAR-01197, EQ-07,2025-03-04,17:00,2.0,Correctiva,Falla de lubricación,1846.0
PAR-00630,eq-04,16/03/2025,08:00,6.3,Preventiva ,Mantenimiento programado (plan anual),7655.0
PAR-00627,eq-04,02/03/2025,06:00,6.5,Correctiva ,Falla mecánica - desgaste de componente,9957.0
PAR-00123, EQ-01,2025-05-24,00:00,-20.0, correctiva,Atoro de mineral / obstrucción,34155.0
PAR-01236,eq-07,2025-09-12,14:00,3.0,OPERATIVA,Falta de mineral en cancha,1642.0
PAR-01658,EQ-10,2024-10-30,05:00,13.1,Correctiva,Falla mecánica - desgaste de componente,18587.0
PAR-01607,EQ-10,17/03/2024,02:00,2.5,Operativa,Falta de mineral en cancha,744.0
PAR-01700,EQ-10,2025-03-31,02:00,20.0,CORRECTIVA,Falla mecánica - desgaste de componente,27577.0
PAR-01285,EQ08,2024-05-14,07:00,1.1,Operativa ,Espera de insumos (reactivos/bolas de molienda),381.0
PAR-00721,EQ-05 ,13/01/2024,03:00,16.4,Correctiva,Rotura de faja/correa,33483.0
PAR-00853,eq-05,2025-04-23,04:00,2.2, operativa,Falta de mineral en cancha,888.0
PAR-01642,EQ-10,2024-08-06,07:00,8.0,PREVENTIVA,Mantenimiento programado (plan anual),12295.0
PAR-00322,EQ-02,2025-09-28,08:00,5.8,PREVENTIVA,Mantenimiento programado (plan anual),11758.0
PAR-01237,EQ07,14/09/2025,15:00,0.8,Operativa ,Condiciones climáticas adversas,210.0
PAR-01703,EQ-10,2025-04-14,13:00,4.1,Correctiva,Rotura de faja/correa,6764.0
PAR-00443,EQ-03 ,06/06/2025,06:00,3.0, correctiva,Rotura de faja/correa,5173.0
PAR-00346,EQ-02,2025-12-20,16:00,5.1,Correctiva ,Rotura de faja/correa,6323.0
PAR-00248,eq-02,2024-12-03,13:00,6.6,Preventiva ,Mantenimiento programado (plan anual),8732.0
PAR-01329,EQ-08,2024-10-17,12:00,1.4,Operativa ,Corte de energía externo,309.0
PAR-01231,eq-07,30/08/2025,11:00,8.0, preventiva,Mantenimiento programado (plan anual),13857.0
PAR-01620,EQ-10 ,11/05/2024,10:00,2.7,Operativa ,Corte de energía externo,1283.0
PAR-01670, EQ-10,2024-12-02,05:00,8.1,Preventiva,Mantenimiento programado (plan anual),16735.0
PAR-00099,EQ01,2025-02-19,11:00,5.1,PREVENTIVA,Mantenimiento programado (plan anual),11174.0
PAR-01665,EQ-10,20/11/2024,01:00,3.6,Correctiva,Rotura de faja/correa,3432.0
PAR-00882,EQ05,10/07/2025,08:00,3.4,Correctiva ,Falla de lubricación,5009.0
PAR-01279,EQ-08 ,24/04/2024,17:00,0.5,Correctiva ,Atoro de mineral / obstrucción,706.0
PAR-01496,EQ09,2024-09-24,15:00,4.8,CORRECTIVA,Falla eléctrica - motor/tablero,4892.0
PAR-01126,EQ-07 ,2024-03-12,11:00,5.0,Correctiva ,Falla mecánica - desgaste de componente,9506.0
PAR-01500, EQ-09,2024-11-04,06:00,4.3,Preventiva ,Mantenimiento programado (plan anual),3639.0
PAR-00406,eq-03,2024-11-20,10:00,7.4,PREVENTIVA,Mantenimiento programado (plan anual),13241.0
PAR-00325,EQ02,2025-10-12,05:00,8.9,Preventiva,Mantenimiento programado (plan anual),8859.0
PAR-01248,EQ-07,2025-12-07,15:00,2.9,OPERATIVA,Corte de energía externo,
PAR-00872,eq-05,2025-06-08,03:00,12.8,CORRECTIVA,Atoro de mineral / obstrucción,13265.0
PAR-01334,EQ08,2024-11-06,00:00,9.4,Correctiva,Rotura de faja/correa,19366.0
PAR-01367,eq-08,27/02/2025,03:00,4.7,Correctiva,,6127.0
PAR-00499,EQ-04,2024-02-02,20:00,0.6,Correctiva ,Falla eléctrica - motor/tablero,1205.0
PAR-00878,EQ-05 ,2025-07-01,18:00,2.3,Correctiva,Falla eléctrica - motor/tablero,2222.0
PAR-01080,eq-06,03/10/2025,05:00,8.5,PREVENTIVA,Mantenimiento programado (plan anual),7930.0
PAR-00135,EQ-01 ,30/06/2025,08:00,14.0,Correctiva,Falla de lubricación,28311.0
PAR-01035,EQ-06,2025-03-29,06:00,6.9, preventiva,Mantenimiento programado (plan anual),7292.0
PAR-00481,EQ03,2025-11-19,14:00,5.8,Preventiva,Mantenimiento programado (plan anual),11492.0
PAR-00136,eq-01,2025-07-01,17:00,5.1,Preventiva ,Mantenimiento programado (plan anual),6498.0
PAR-00774,eq-05,03/07/2024,18:00,4.2,Correctiva ,,6427.0
PAR-00897,eq-05,2025-09-05,14:00,6.8, correctiva,Falla eléctrica - motor/tablero,6411.0
PAR-00375,EQ-03 ,24/05/2024,02:00,1.2, operativa,Espera de insumos (reactivos/bolas de molienda),
PAR-01164,EQ07,2024-09-30,15:00,6.8, correctiva,Rotura de faja/correa,6295.0
PAR-00993,EQ06,2024-10-03,14:00,4.2,Correctiva,Falla de lubricación,3896.0
PAR-00446,EQ-03 ,17/06/2025,03:00,5.4, preventiva,Mantenimiento programado (plan anual),7188.0
