Fecha,Cod_Equipo,Horas_Trab,Horas_Parada,Ton_Producidas,Ton_Rechazo,Cap_Nominal_TMH,Fecha_Carga
07/04/2024,EQ-07 ,22.8,1.2,6364.4,129.6,350,2024-04-08 00:00:00
10/09/2024,EQ-02 ,24.0,0.0,9754.9,285.8,430,2024-09-11 00:00:00
14/08/2024, EQ-09,18.1,5.9,4500.7,167.0,260,2024-08-15 00:00:00
19/10/2024,EQ-02,24.0,0.0,9949.0,113.4,430,2024-10-20 00:00:00
19/04/2024,EQ01,24.0,0.0,11614.2,294.1,520,2024-04-20 00:00:00
11/07/2024,EQ-09,24.0,0.0,5776.4,166.0,260,2024-07-12 00:00:00
12/07/2024,EQ-09 ,24.0,0.0,5094.3,82.4,260,2024-07-13 00:00:00
30/09/2024,EQ04,24.0,0.0,10254.2,149.6,460,2024-10-01 00:00:00
29/07/2024,EQ-07 ,24.0,0.0,7446.6,87.8,350,2024-07-30 00:00:00
21/02/2024,eq-01,24.0,0.0,11135.6,160.7,520,2024-02-22 00:00:00
06/08/2024, EQ-05,4.0,20.0,1172.3,25.2,300,2024-08-07 00:00:00
05/07/2024,EQ-08,24.0,0.0,8503.7,219.6,400,2024-07-06 00:00:00
17/04/2024,eq-08,21.4,2.6,7654.2,92.3,400,2024-04-18 00:00:00
11/11/2024,eq-04,24.0,0.0,10443.8,264.8,460,2024-11-12 00:00:00
27/10/2024,EQ-02 ,24.0,0.0,9560.9,220.1,430,2024-10-28 00:00:00
15/11/2024, EQ-09,24.0,0.0,5780.2,100.6,260,2024-11-16 00:00:00
10/01/2024,EQ-08 ,24.0,0.0,9097.9,214.0,400,2024-01-11 00:00:00
19/03/2024,eq-05,4.0,20.0,1034.2,25.5,300,2024-03-20 00:00:00
16/07/2024,EQ06,24.0,0.0,6080.9,140.9,300,2024-07-17 00:00:00
04/03/2024,EQ-05,14.7,9.3,3686.7,89.2,300,2024-03-05 00:00:00
07/08/2024,eq-01,24.0,,11444.3,290.2,520,2024-08-08 00:00:00
29/11/2024,EQ04,24.0,0.0,10130.1,219.2,460,2024-11-30 00:00:00
29/03/2024,EQ-09,24.0,0.0,5854.8,109.2,260,2024-03-30 00:00:00
31/08/2024,EQ-07,21.7,2.3,6123.0,143.7,350,2024-09-01 00:00:00
22/03/2024,EQ05,22.1,1.9,6035.7,197.0,300,2024-03-23 00:00:00
29/08/2024,EQ07,24.0,0.0,7692.9,101.1,350,2024-08-30 00:00:00
11/04/2024,EQ-03 ,24.0,0.0,8714.2,159.4,380,2024-04-12 00:00:00
22/06/2024,EQ-02 ,23.3,0.7,8218.1,95.5,430,2024-06-23 00:00:00
17/08/2024,EQ03,24.0,0.0,7780.7,212.8,380,2024-08-18 00:00:00
20/02/2024,EQ07,24.0,0.0,7563.9,318.6,350,2024-02-21 00:00:00
16/03/2024,EQ-01,24.0,0.0,11720.2,216.5,520,2024-03-17 00:00:00
16/01/2024,EQ-04 ,22.6,,9246.0,136.1,460,2024-01-17 00:00:00
