fecha,equipo_id,horas_operativas,horas_parada,toneladas_procesadas,toneladas_fuera_especificacion,capacidad_nominal_tmh,turno
2025-12-07,EQ-01,24.0,0.0,12355.2,264.0,520,
2025-01-16,EQ-01,24.0,0.0,10898.3,80.9,520,
2025-12-14,EQ-07,24.0,0.0,7676.9,112.5,350,
2025-05-11,EQ-07,22.1,1.9,6762.9,138.8,350,
2025-12-13,EQ-05,24.0,0.0,5963.2,180.7,300,
2025-06-18,EQ-09,24.0,0.0,5192.5,143.8,260,
2025-06-23,EQ-02,24.0,0.0,9204.9,105.8,430,
2025-03-14,EQ-05,24.0,0.0,7109.5,63.2,300,
2025-12-02,EQ-10,21.7,2.3,9759.7,175.0,500,
2025-07-16,EQ-09,24.0,0.0,6025.3,72.2,260,
2025-04-21,EQ-04,3.32,6.62,1366.7,18.6,460,2.0
2025-09-30,EQ-06,24.0,0.0,6393.0,116.6,300,
2025-09-05,EQ-08,24.0,0.0,8424.8,82.0,400,
2025-04-22,EQ-08,24.0,0.0,8663.2,145.7,400,
2025-04-14,EQ-04,4.13,0.0,1676.9,4.9,460,3.0
2025-04-28,EQ-06,5.38,0.0,1523.7,13.0,300,2.0
2025-06-22,EQ-05,24.0,0.0,6206.1,85.0,300,
2025-10-16,EQ-03,24.0,0.0,7931.9,224.5,380,
2025-07-20,EQ-05,24.0,0.0,6507.0,150.1,300,
2025-02-27,EQ-08,19.3,4.7,5878.8,93.9,400,
2025-10-20,EQ-01,21.0,3.0,9106.1,143.0,520,
2025-04-06,EQ-10,24.0,0.0,10161.1,97.5,500,
2025-04-22,EQ-10,24.0,0.0,11428.0,238.2,500,
2025-08-19,EQ-04,4.0,20.0,1722.5,38.4,460,
2025-11-24,EQ-07,24.0,0.0,7883.4,165.8,350,
2025-10-19,EQ-04,24.0,0.0,9810.2,128.1,460,
2025-10-11,EQ-07,24.0,0.0,7353.1,183.6,350,
2025-02-05,EQ-08,24.0,0.0,8271.3,138.2,400,
2025-07-09,EQ-04,14.7,9.3,5946.8,114.9,460,
2025-12-07,EQ-06,24.0,0.0,6066.5,148.6,300,
2025-12-10,EQ-03,24.0,0.0,8314.6,162.2,380,
2025-05-21,EQ-07,24.0,0.0,7282.7,84.8,350,
2025-04-10,EQ-06,7.21,0.0,2071.6,68.4,300,2.0
2025-02-26,EQ-09,24.0,0.0,6099.9,115.0,260,
2025-02-26,EQ-07,20.7,3.3,6226.0,131.5,350,
2025-03-26,EQ-10,24.0,0.0,9492.8,280.9,500,
2025-12-07,EQ-02,24.0,0.0,9800.8,212.4,430,
2025-09-01,EQ-08,24.0,0.0,8091.5,119.9,400,
2025-08-12,EQ-01,24.0,0.0,12151.4,260.8,520,
2025-09-20,EQ-04,24.0,0.0,10675.7,56.7,460,
2025-12-09,EQ-01,23.5,0.5,10228.9,290.3,520,
2025-07-15,EQ-10,24.0,0.0,9849.5,281.3,500,
2025-06-08,EQ-07,24.0,0.0,8115.7,99.5,350,
2025-05-14,EQ-08,24.0,0.0,8896.2,147.8,400,
2025-05-12,EQ-04,1.94,1.87,827.3,76.7,460,2.0
2025-06-14,EQ-04,11.93,0.0,4375.1,42.3,460,3.0
2025-01-13,EQ-08,24.0,0.0,8277.8,67.6,400,
2025-07-26,EQ-07,24.0,0.0,7833.7,245.6,350,
2025-11-22,EQ-02,24.0,0.0,8754.3,244.3,430,
2025-07-08,EQ-02,24.0,0.0,8826.5,20.5,430,
